"nome","deficiencia","objetivo","solucao","plataforma","faixa","ano","licenca"
"Storyboard","Física e Paralisia Cerebral","Eliminar barreiras comunicacionais para alunos com necessidades de comunicação","Software","Desktop","Sem restrições","2018","Gratuito"
"aBoard","Física e Paralisia Cerebral","Permitir que pessoas com defcência na fala possam produzir frases que expressem seus desejos, opiniões e sentimentos","Aplicativo","Smartphone e Tablet","Sem restrições","2017","Gratuito"
