"nome","deficiencia","objetivo","solucao","plataforma","faixa","ano","licenca"
"Contátil","Visual","Auxiliar no ensino da Matemática","Software","Desktop","Sem restrições","2018","Gratuito"
"Blinds, Basic Education","Visual","Exercita vários componentes curriculares, o raciocínio lógico e até mesmo a percepção de espaço e memorização.","Jogo","Desktop","Sem restrições","2017","Gratuito"
"Ortomonstro","Visual","Voltado para práticas pedagógicas de ortografia usando o sistema Braille","Jogo","Smartphone e Tablet","Sem restrições","2016","Gratuito"
" Geometrix","Visual","Prover uma aprendizagem autônoma de conceitos de geometria","Jogo","Desktop","Sem restrições","2013","Gratuito"
"Matraca","Visual","Promover a inclusão digital","Software","Desktop","Sem restrições","2011","Gratuito"
